   No           lonR           latR             dR        D0
    1     137.185577      33.099720      24.234921     0.235
    2     137.132446      33.105370      24.234921     0.599
    3     137.079285      33.111000      24.234921     0.591
    4     137.026123      33.116600      24.234921     0.822
    5     136.972977      33.122181      24.234921     0.904
    6     136.919800      33.127739      24.234921     0.524
    7     136.866623      33.133270      24.234921     0.302
    8     136.813431      33.138779      24.234921     0.364
    9     136.760254      33.144272      24.234921     1.053
   10     136.707062      33.149738      24.234921     1.315
   11     136.653854      33.155190      24.234921     0.938
   12     137.180283      33.064480      21.156610     0.242
   13     137.127167      33.070122      21.156610     0.238
   14     137.074036      33.075748      21.156610     0.259
   15     137.020905      33.081348      21.156610     0.616
   16     136.967743      33.086929      21.156610     1.452
   17     136.914597      33.092480      21.156610     1.787
   18     136.861450      33.098011      21.156610     1.329
   19     136.808289      33.103519      21.156610     0.596
   20     136.755127      33.109009      21.156610     0.684
   21     136.701950      33.114479      21.156610     1.303
   22     136.648758      33.119919      21.156610     1.625
   23     137.174988      33.029228      18.078310     0.707
   24     137.121887      33.034882      18.078310     1.230
   25     137.068787      33.040501      18.078310     0.697
   26     137.015671      33.046089      18.078310     1.072
   27     136.962555      33.051670      18.078310     2.361
   28     136.909424      33.057220      18.078310     3.104
   29     136.856277      33.062752      18.078310     3.158
   30     136.803146      33.068260      18.078310     2.764
   31     136.750000      33.073750      18.078310     1.526
   32     136.696838      33.079208      18.078310     0.889
   33     136.643677      33.084648      18.078310     1.202
   34     137.169693      32.993992      15.000000     1.069
   35     137.116623      32.999630      15.000000     1.679
   36     137.063538      33.005249      15.000000     1.303
   37     137.010437      33.010841      15.000000     1.435
   38     136.957336      33.016411      15.000000     2.822
   39     136.904236      33.021969      15.000000     3.381
   40     136.851120      33.027489      15.000000     4.650
   41     136.798004      33.033001      15.000000     4.641
   42     136.744873      33.038479      15.000000     3.168
   43     136.691742      33.043941      15.000000     0.588
   44     136.638596      33.049381      15.000000     0.259
   45     137.164413      32.958740      11.921690     0.756
   46     137.111359      32.964378      11.921690     1.331
   47     137.058289      32.969990      11.921690     1.218
   48     137.005219      32.975590      11.921690     1.838
   49     136.952133      32.981159      11.921690     2.559
   50     136.899048      32.986710      11.921690     2.811
   51     136.845963      32.992229      11.921690     4.323
   52     136.792862      32.997742      11.921690     4.407
   53     136.739761      33.003220      11.921690     3.284
   54     136.686646      33.008678      11.921690     1.262
   55     136.633514      33.014111      11.921690     0.691
   56     137.159134      32.923489       8.843390     0.297
   57     137.106094      32.929131       8.843390     0.757
   58     137.053055      32.934738       8.843390     1.392
   59     137.000000      32.940331       8.843390     2.068
   60     136.946945      32.945900       8.843390     2.096
   61     136.893875      32.951450       8.843390     2.143
   62     136.840805      32.956970       8.843390     2.782
   63     136.787735      32.962479       8.843390     2.882
   64     136.734634      32.967949       8.843390     2.353
   65     136.681549      32.973412       8.843390     1.451
   66     136.628448      32.978840       8.843390     0.866
   67     137.153854      32.888241       5.765080     0.895
   68     137.100845      32.893879       5.765080     2.078
   69     137.047821      32.899490       5.765080     2.804
   70     136.994797      32.905079       5.765080     2.629
   71     136.941757      32.910648       5.765080     2.282
   72     136.888702      32.916191       5.765080     2.098
   73     136.835648      32.921711       5.765080     3.031
   74     136.782593      32.927212       5.765080     3.273
   75     136.729538      32.932690       5.765080     2.711
   76     136.676453      32.938141       5.765080     1.751
   77     136.623383      32.943569       5.765080     1.067
