      Time         X         Y            Lon            Lat          Depth      Slip rate            SR1            SR2  Rigidity
      1.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      2.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      3.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      4.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      5.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      6.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      7.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      8.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.053422      -0.034925       0.040425     50.03
      9.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.059396       0.058050      -0.012575     50.03
     10.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.145256       0.120265      -0.081460     50.03
     11.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.062164       0.013020      -0.060785     50.03
     12.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.136065      -0.135985       0.004655     50.03
     13.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.289056      -0.276185       0.085295     50.03
     14.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.086418      -0.086360      -0.003175     50.03
     15.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.141689       0.139855       0.022725     50.03
     16.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.251997       0.174440       0.181860     50.03
     17.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.201866       0.163290       0.118685     50.03
     18.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.140524       0.079345      -0.115980     50.03
     19.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.200018       0.045945      -0.194670     50.03
     20.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.026144      -0.010720       0.023845     50.03
     21.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.085242      -0.031635       0.079155     50.03
     22.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
     23.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
     24.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
     25.00    -35.00    -15.00     137.185577      33.099720      24.234921       0.000000       0.000000       0.000000     50.03
      1.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      2.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      3.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      4.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      5.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      6.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      7.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.087707       0.086790      -0.012650     50.03
      8.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.097046       0.095485      -0.017335     50.03
      9.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.104650       0.098235      -0.036075     50.03
     10.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.167062       0.124930      -0.110915     50.03
     11.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.094563      -0.007120      -0.094295     50.03
     12.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.208891      -0.207770       0.021610     50.03
     13.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.306245      -0.274465       0.135850     50.03
     14.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.108385      -0.087810       0.063535     50.03
     15.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.123526       0.118830       0.033735     50.03
     16.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.227961       0.184705       0.133605     50.03
     17.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.226810       0.225880       0.020515     50.03
     18.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.197377       0.154010      -0.123445     50.03
     19.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.205588       0.054090      -0.198345     50.03
     20.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.035129       0.024820       0.024860     50.03
     21.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.110435       0.006390       0.110250     50.03
     22.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
     23.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
     24.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
     25.00    -30.00    -15.00     137.132446      33.105370      24.234921       0.000000       0.000000       0.000000     50.03
      1.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.000000       0.000000       0.000000     50.03
      2.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.000000       0.000000       0.000000     50.03
      3.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.000000       0.000000       0.000000     50.03
      4.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.000000       0.000000       0.000000     50.03
      5.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.000000       0.000000       0.000000     50.03
      6.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.055519      -0.023210       0.050435     50.03
      7.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.080233       0.049485       0.063155     50.03
      8.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.120680       0.119935      -0.013385     50.03
      9.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.137544       0.120325      -0.066635     50.03
     10.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.157430       0.080360      -0.135375     50.03
     11.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.108580      -0.065650      -0.086485     50.03
     12.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.205067      -0.196855       0.057450     50.03
     13.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.261445      -0.197035       0.171845     50.03
     14.00    -25.00    -15.00     137.079285      33.111000      24.234921       0.144035      -0.034325       0.139885     50.03
